PID,cause of rising temps,Natural_K,Natural_D,Natural_C,Exploitation_K,Exploitation_D,Exploitation_C,Vague_K,Vague_D,Vague_C,ManMade_K,ManMade_D,ManMade_C,Unattributed_K,Unattributed_D,Unattributed_C,,consequences of rising temps ,Rising Sea Level_K,Rising Sea Level_D,Rising Sea Level_C,Changing Weather_K,Changing Weather_D,Changing Weather_C,Human Impact_K,Human Impact_D,Human Impact_C,Wildlife Impact_K,Wildlife Impact_D,Wildlife Impact_C,Natural Resource Impact_K,Natural Resource Impact_D,Natural Resource Impact_C,No Consequence_K,No Consequence_D,No Consequence_C,
110.00,"Gases from manufacturing, cars, from oil companies. ",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,Temperatures rising. Ice packs on both poles melting. Oceans eising,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111.00,"Global warming, greenhouse gasses",0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,,"Icecaps melting, change in weather patterns, more natural disasters",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
112.00,Nature just doing it’s thing,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,"Crop loss, migration of animals",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,
113.00,"climate change, global warming, ozone breaking down",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"melting of ice caps, higher temperatures, animals dying or migrating",1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
114.00,Increasing carbon dioxide in atmosphere trapping heat caused mostly by human activity.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,Changes in weather. Oceans become warmer and habitats of animals change. Melting ice caps release more water.,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
115.00,The ozone layer is thinning or depleted now from industry..factory farming ..and other pollution sources . It damaged the ozone layer I think which protected us better from the sun. With it thinning it heats up the water and air ,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,Rising temperature leads to animals going extinct. Mass dying of sea life like coral reefs and extreme changes and shifts in weather patterns ,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,
116.00,"Carbon emissions from factories, use of fossil fuels, unsustainable business practices. ",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"Rising oceans destroying coastal communities, loss of wildlife and disruptions to the food chain, massive extinction events. ",1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,
117.00,The amount of carbon dioxide or emissions on the planet is causing rising temperatures. ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,The ice caps and glaciers are melting. Seas levels will rise flooding the land at the coast. ,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
118.00,Increased levels of CO2 in the atmosphere,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"To much to right really, but increased heat causes ice to melt and plant life and animals to change.",0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
119.00,GLOBAL WARMING,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,HEAT WAVES,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
120.00,global warming caused by greenhouse gasses generated by the use of fossil fuels.,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,"rising sea levels
Coastal erosion
More extreme weather
Severe droughts
Severe flooding
Possibly mass starvation",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
121.00,Greenhouse gases.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,The earth will overheat and life will die.,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,
122.00,Green house gases filling the atmosphere due to human consumption and industrialization ,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,,We are all going to die eventually. Ecosystems are breaking down and the weather is extreme.,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
123.00,"Buildup of greenhouse gasses released from industrial processes creating a ""greenhouse effect"" in the planet's atmosphere. ",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Species going extinct, more volatile weather patterns, melting of polar ice, famine and crop failure, etc",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
124.00,"I believe there are many different factors that likely contribute to rising temperatures on earth. For one, there may be a natural process throughout millions of years that causes global temperatures to fluctuate. In addition, increase carbon emissions have contribute to changes (I believe both rising and lowering) in the temperature. As the world become more industrial, the more widespread use of large factories, cars, etc. contributed to these increase emissions that have impacted the ozone layer of earth.",1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"Global changing temperatures have had, and continue to have, a large impact on the earth's ecosystem. Natural climates have changed, such as colder climates warming and melting ice caps. In addition, the change in temperature has seen unusual weather patterns in many parts of the world, such as increased flooding on coastlines or increasing wildfires.",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
125.00,"Climate change due to the earth’s always changing climate, not manmade.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,"Better weather, rising sea levels, displacement of people close to the water or sea",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
126.00,"Less trees, more asphalt, more chemicals",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,,"Temperature changes have been cyclical since the beginning of time, they result in weather changes and can cause extinction of some species ",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
127.00,"increased use of fossil fuels, farming and machinery
refusal by countries and big corporations to regulate their emissions",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"rising ocean temperatures, increased natural disasters, loss of animals and plants ",1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
128.00,Man-made CO2.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Soil erosion, rising sea levels, climate instability.",1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,
129.00,accumulation of carbon dioxide,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,rising oceans and people displacement,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
130.00,Carbon emissions increasing mostly due to human waste.,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,,Rising sea waters and hotter temperatures will make many places uninhabitable. ,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,
131.00,Pollution and global climate change. the holes in the ozone layer,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,,"ecosystem loss, deforestation, rising water levels",1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
132.00,Climate change due to the increase amount of CO2 within the earth's atmosphere.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"Increased natural disasters, destruction of habitat, and loss of species.",0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,
133.00,"Largely, depletion of the ozone layer by particulate air pollution",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Rising sea level, hotter, colder and more erratic weather, less food production, destruction of ecosystems, loss of coral reefs and marine life due to pollution and rising water temperatures",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,
134.00,"Industrial growth, burning of fossil fuels",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,Lower production of food crops,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,
135.00,Greenhouse gas emissions ruining our ozone layer,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"Global warming, higher temperatures, raging natural weather",0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,
136.00,"The release of CO2 from burning fossil fuels, other anthropogenic GHGs, and decreased release of anthropogenic sulfur compounds. ",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Rising sea levels, increased extreme weather, fewer deaths from extreme cold, more deaths from extreme heat, and mass extinction. ",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,
137.00,"Global warming, wrong gases going into the atmosphere.",0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,,"Change in climate, natural disasters more common",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
138.00,Climate change which is caused by humans and the high levels of carbon we release into the atmosphere. ,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"It can raise sea levels and change weather patterns. This can have long term affects on shorelines, can cause flooding, and can create other weather patterns that humans are not accustomed to living with, like longer hotter fire seasons that burn closer to human settlements. It can also cause weather changes that affect our ability to grow crops and which could lead to food shortages. I think the weather patterns and temperature changes can also affect certain animals ability to find food. I know the polar bears are starving. And it is crazy when one animal leaves an ecosystem the ripple affects that can have on the rest of the ecosystem. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
139.00,There is a natural cycle of temperatures the Earth goes through that is being rapidly sped up by human by products. ,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"The consequences are severe changes in the environment across the globe from severe droughts to harsh floods, causing emergencies for millions of people. This can cause disruption to agriculture and industry. ",0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,
140.00,Rising temps have been the result of many made pollutions and climate change that is believed to be a natural occurrence that happens in cycles.,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"Rising temps cause weather patters to become more extreme and unpredictable, which can threaten lives, safety and well being of people and animals.",1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,
141.00,"There are many factors including human activities (burning coal, pollution, methane from cattle) I don't think climate change is ""just a natural evolution of earths atmosphere"" ",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,I would say that one consequence we would see soon would be crop devastation and mass extinctions. The human race could be on the brink of extinction as well. We don't know because we are in unknown territory at this point. The climate has already been changing rapidly and it will probably only continue to do so.,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,
142.00,I think a big part is the expansion of human habitats.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Rising oceans, some areas being too hot to live.",1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,
143.00,"Cyclical, soil degradation, falsified studies, incentives for global corporate fascism to circumvent nation states by exaggerating effects to justify transnational law",1,1,1,1,1,1,,0,0,0,0,0,0,0,0,,"Becomes more difficult to communicate with academics. Flooding, wild fires, draught. Deprivation of civil liberties and self governance",0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
144.00,Rising temperatures are due to humans.,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,,"Rising temps would melt the polar ice caps causing large scale flooding in all costal areas, it would change the ocean currents which would lead to weather changes. There would be less food because of all of these changes and changes in weather might cause another ice age.",1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,
145.00,"Temperatures are rising due to climate change. Carbon emissions causes a greenhouse gas effect on our planet. This means gasses are trapped in earth's atmosphere, causing the earth to heat up faster than usual. This is the main reason why temperatures are rising. Industrialization leads to increased carbon emissions. Motor vehicles, commercial agricultures, oil and gas production, are all sources of greenhouse gas emissions and all contribute to a warming climate.",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"As the temperatures on earth rise, sea levels are rising and land and coastal lands are being claimed by the sea. The sea ice is melting which is detrimental to Artic ecosystems and contribute to sea level rise. Plant and animals species are having a difficult time adjusting to changing climate. Many species could perish are a result of climate change, which affects biodiversity on earth. The food sources we rely on will be affected too as crops can no longer grow in areas they once were able to. This could lead to a global food crisis. Losing land to sea level rising can lead to a housing crisis. Higher temperatures are also correlated with more extreme weather patterns and unpredictable natural disasters (wildfires, stronger hurricanes, etc.), In short, there are many consequences.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
146.00,"HUman production, cows, farming, and natural changes to a degree",1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"higher levels of water, wildfires, lost habitats for animals, broken food chains",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
147.00,"- Release of carbon into the atmosphere - Human activity (burning fossil fuels, large-scale farming/livestock operations, factory emissions) - Melting of the polar ice caps (they help keep the planet cool)",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"The inevitable heat death of the universe.

But first - natural disasters and widespread flooding",0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,
148.00,"The main cause of rising temperatures on earth is the abundance of carbon emissions produced. Many large corporations pump out extraordinary amounts of these greenhouse gasses into our atmosphere in the course of running their business. Add on the issue of deforestation and the problem becomes even worse. Without as many trees, the earth is less able to filter out some of this carbon dioxide, leaving our atmosphere at an even greater disadvantage.",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"Many of the consequences of climate change we've already begun to see. A change in weather patterns leads to more catastrophic natural disasters, devastating cities around the globe. Dryer climates induce an increased risk of wildfire, and drastic temperature changes have brought on more tornadoes and hurricanes in recent years. Melting glaciers destroy the environment for cold climate creatures and will eventually do the same for those living in more coastal regions as the ocean levels begin to rise. The list of consequences for these rising temperatures is nearly endless.",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,
149.00,Is it when the earth's center heats up?,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,Global warming and extreme weather conditions are the consequences - resulting in displacement and disaster,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,
150.00,The release of greenhouse taxes and use of fossil fuels.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,slowly both the ecosystem and climate will change which will lead to less water and food,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,
151.00,Climate change is mainly caused by the pollution we create.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,They negatively impact the environment which in turn hurts our food supply.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
152.00,Methane and greenhouse gases produced by humans.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,Abnormal weather patterns and temperatures. More natural disasters.,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
153.00,Human driven climate change,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,,"Species extinction, melting sea caps, rising oceans, geopolitical conflicts, loss of crops",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,
154.00,Use of fossil fuels and air pollution creating holes in the ozone layer,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Can cause glaciers and icecaps melting, leading to rising sea levels. Rising sea levels could eradicate areas that are at or below sea level (e.g. Florida). Also, it can create unpredictable natural disasters (e.g. increased wildfires, stronger hurricanes)",1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,
155.00,"global warming, the ebb and flow of the earths temperatures.",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,,"Things will become hotter for longer, floods, and other sorts of natural disasters will become higher as well as the thawing of frozen areas which will make the oceans more volatile. ",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
156.00,"Climate change, release of carbon emissions into the atmosphere thanks to cars, energy use, aviation",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Worsening climate change, increase in ocean temperature, strengthening storms and natural disasters",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
157.00,Human causes activities. Humans are burning fossil fuels and causing greenhouse gases to be emitted into the atmosphere. ,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Higher temps, more frequent weather disasters, melting icecaps, Extinction of species ",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
158.00,"the cycle of seasons, climate change",1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,,"change of environments, ice caps melting",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159.00,The pollution caused by corporations.,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,The rising water levels would destroy people's homes.,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
160.00,Global warming (1),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,"Ice caps melting, heat wave deaths",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
161.00,"Most of the cause is from humans ruining the environment in various ways. Pollution, waste, deforestation, exhausting natural resources. All of this is very damaging to the planet in a sense of human survival.",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"Everyone is going to die because of it, human extinction. The weather will cause the Earth to become inhospitable to human life, at least for awhile, and we will die out. Other things will take our place.",0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
162.00,Nature climatic variation and pollution by humans.,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,The extinction of species and rising sea levels.,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,
163.00,The causes of rising temperatures on earth are from deterioration of the ozone layer caused by green house gasses ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"The causes of rising temperatures are melting of icebergs, raised water levels, and more frequent and severe weather",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
164.00,Natural cycle and human pollution factors,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,rising water temperatures and sea levels,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165.00,I think industrialism is a big cause and corporations causing pollution.,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"Global warming, hotter temperatures and ruining ecosystems",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
166.00,"Global warming is kind of a natural part of our planet's cycle, but industry is definitely speeding it up at a potentially catastrophic rate.",1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"Heatwaves, wildfires, melting of the ice caps, flooding, death of weaker animals and humans who can't take the higher temperatures.",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,
168.00,"human factors like pollution, especially from asia. also big companies account for alot of harm to the environment ",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,we all die because nothing grows ,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,
169.00,Carbon emissions primarily. This has caused sea temperatures to rise and increase the overall earth temperature.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"More extreme weather events, rising sea levels, more drought and famine.",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
170.00,The causes of rising temperatures on earth are the rising levels of greenhouse gases in the atmosphere that trap radiant energy inside the earth's atmosphere for longer primarily caused by human greenhouse gas emissions on a large scale.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,The main consequences of rising temperatures on earth are rising temperatures and more extreme weather events and flooding around the world.,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
171.00,"Climate change. The greenhouse gases cause the earth to heat up more, including the ocean. It throws off our whole ecosystem and leads to more severe weather situations. ",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"More severe weather situations such as hurricanes and flooding, food sources depleting because crops have less harvest, higher energy use to cool down places, coral reefs bleaching and dying.",0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,
172.00,solar output from the sun.  internal heat output from earth.,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,eventual death of all living things on the planet.,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,
173.00,Pollution and  the rising population is the cause of the earths temperatures rising. ,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,Global warming which is depleting the ozone layer which protects is from the sun rays. ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
174***,"Rising temperatures on earth, while possibly caused in part from natural phenomena, is directly attributed to greenhouse gas emissions due to humans.",1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Rising temperatures on earth are making the icecaps melt, raising sea levels, but most importantly is making weather more erratic and different from what we were previously used to.",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
175.00,"human activity in terms of using gas-powered devices, natural disasters",0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"less environmental safety, more natural disasters, more drastic changes in temperature, overall hotter climates, damages to forests",0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,
176.00,Natural temperature fluctuations and excess man made gasses.,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"Life starts to cease to exist. Melted polar ice caps, rising sea levels, changing in weather",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,
177.00,Social media and what news I notice seem to say it's because of people and they really like to blame cows a lot. I've never looked into it but have been curious about how much of it's just natural. I thought earth climate just naturally changes - like how we've had ice ages and such in the past. ,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,I think food production could become an issue if plants can't survive the heat,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,
178.00,"There are several positive feedback loops that have been set in motion that are causing it, but the root cause is a higher level of carbon dioxide in our atmosphere due to human activity.",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Increased bleaching of coral reefs, which leads to the collapse of the ecosystem there. Droughts, Increased severe storm activity, including hurricanes, and changes in animal behaviors due to temperatures changing at different times of the year than happened previously.",0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,
179.00,Humans using things like cars are what is increasing temperatures on Earth. People. US. We are doing it.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"The consequences are changing weather patterns leading to dangerous conditions, which I am already seeing. When I first moved to where I lived over 10 years ago, it snowed every year. The last time it snowed was 4 years ago. ",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
180.00,The human production of carbon and methane in the atmosphere.,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Climate change - higher temperatures, rising ocean levels, changing patterns of rain and storms, higher ocean temperatures, the disruption or extinction of ecosystems and species.,",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,
181.00,The massive pollution generated by gigantic corporations with no regard for humanity and only focused on profits.,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"Short term; rising sea levels, completely altered ecosystems and unusual seasons.  Long term; the destruction of life as we know it, a mass extinction event that will completely alter the planetary ecosystem.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
182.00,Human activity and some natural processes.,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,,"Animals will go extinct, humans will have to find ways of getting through heat waves and cold spells, fires, and floods.",0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,
183.00,"The earth's orbital pattern that gradually draws closer to the sun over time, is one the cause of rising temperatures on earth.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,water would evaporate causing droughts and produce unfavorable land conditions to grow crops.,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,
184.00,Our mistreatment of the earth is causing climate change. How humans affect the ozone layer and pollute the earth causes temperatures to change. El Niño and el Nina affect temperature also. ,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,,Melting icecaps and glaciers are a consequence of temperature change ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
185.00,"Earths temperature rises when it is close to the sun, gaps in the ozone layer, and greenhouse gases. ",1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,The consequences of a plant continuing to rise its temperature is making it inhabitable.,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,
186.00,Increased emissions of greenhouse gases such as carbon dioxide affect the ozone layer and lead to increased temperatures. ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"The consequences include more numerous and severe occurrences of natural disasters, as well as loss of animal habitats due to melted ice and rising sea levels.",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
187.00,"The burning of fossil fuels (coal, oil, and natural gas) for energy production, transportation, and industrial processes releases greenhouse gases",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Rising temperatures lead to the accelerated melting of polar ice caps and glaciers. This contributes to rising sea levels, threatening coastal communities and ecosystems.",1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,
